PI_number,log_dry_weight
PI521019,2.02414122991499
PI521019,2.53557034611345
PI521152,2.5262145994394
PI521152,2.08109742674774
PI521152,1.98287787769276
PI521280,2.05026245496255
PI521281,2.06944209111763
PI521281,2.52793526407762
PI521281,1.91491487678023
PI521290,2.07780864939938
PI521290,2.08109742674774
PI524475,2.44232378232618
PI524475,1.88976261671114
PI524475,1.8687991608665
PI525049,2.42874327081131
PI525049,2.11822545587508
PI525049,2.07448714736096
PI52606,2.04300546914031
PI52606,1.76017049491146
PI52606,1.57656051688537
PI526905,1.8687991608665
PI526905,1.68353666362047
PI526905,1.66127453589717
PI527045,1.73805590672678
PI527045,1.85297590479216
PI527045,1.7768643834195
PI533792,1.67259115186281
PI533792,1.5287922817517
PI533792,1.63742094770674
PI533902,1.66127453589717
PI533902,1.70942623827657
PI533902,1.71437163540566
PI533998,1.60498689166261
PI533998,1.4829934222459
PI533998,1.7425975849588
PI534120,2.0355872038364
PI534120,1.67259115186281
PI534120,1.63118136041879
PI534165,1.59810400450184
PI534165,1.72404791293191
PI534165,1.63742094770674
PI535783,2.04846294547952
PI535783,1.98067451523289
PI535785,2.04665368250994
PI535785,1.96943411988653
PI535785,1.91491487678023
PI535792,1.61173072104145
PI535792,1.65546902955556
PI535792,1.96016107357585
PI535793,1.80043710646867
PI535793,1.88390618227413
PI535793,1.72404791293191
PI535794,2.04483455974798
PI535794,1.69931006409009
PI535794,1.7768643834195
PI535795,1.98940202414119
PI535795,1.94080445143633
PI535795,1.84971921358798
PI535796,2.01628655691303
PI535796,2.08109742674774
PI535796,1.751499664533
PI540518,1.64956076557094
PI540518,1.751499664533
PI540518,1.66698079793874
PI542718,1.93324620701321
PI542718,1.67810876840589
PI550604,1.71437163540566
PI550604,1.58389725619042
PI552851,2.42291749989537
PI561840,1.70440647149124
PI561840,1.60498689166261
PI561840,1.66127453589717
PI562717,1.93324620701321
PI562717,1.78885878276662
PI562717,1.62482291672913
PI562730,2.03181531962843
PI562730,2.25454765723355
PI562730,2.05383263017853
PI562732,2.19851810957765
PI562732,2.39344470356937
PI562732,2.32452778654318
PI562781,2.07448714736096
PI562781,2.02023699592638
PI562897,2.52793526407762
PI562897,1.95542612609167
PI562897,1.85620112988889
PI562970,1.84971921358798
PI562970,1.98940202414119
PI562971,2.55113723001895
PI562971,1.93068827724985
PI562971,1.8294822176616
PI562981,1.69413463947928
PI562981,1.96943411988653
PI562982,2.56447564235117
PI562982,1.90117597465708
PI562982,1.76017049491146
PI562985,2.31573233111168
PI562985,1.9872414457201
PI562985,1.87492425382964
