PI_number,Height
PI329301,0.444044795918076
PI329301,0.526339277389844
PI329519,0.626340367375042
PI329519,0.502427119984433
PI329519,0.445604203273598
PI562985,0.546542663478131
PI562985,0.591064607026499
PI562985,0.494154594018443
PI563329,0.59659709562646
PI563329,0.570542939881898
PI563329,0.553883026643874
PI452544,0.406540180433955
PI452544,0.403120521175818
PI452544,0.369215857410143
PI562970,0.618048096712093
PI562970,0.607455023214669
PI562970,0.541579243946581
